ResponseId,Progress,RecordedDate,StartDate,EndDate,Finished,Duration_in_seconds,filename,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA,bslnB,cntrQ,FirstClick,LastClick,PageSubmit,QuestionA,correctA,TrustA,QuestionB,TrustB,correctB
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc1-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_t_t-cntrQ_244",1,"electricity consumption","gps on","radio on gte 1","h0v0",2,"easy","E","E","E","WHAT_Qn",1,1,244,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc68-fC-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_f_f-cntrQ_245",68,"fuel consumption","gps on","radio on gte 1","h0v0",3,"easy","H","M","H","WHAT_Qn",-1,-1,245,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc29-eG-rO-qry_gO_gte_1-flips_h0v0-nMasks_2-dMask_easy-dCmplx_MEH-fcs_WHAT_Qn-bsln_f_f-cntrQ_246",29,"engine temperature","radio on","gps on gte 1","h0v0",2,"easy","M","E","H","WHAT_Qn",-1,-1,246,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc69-eG-rO-qry_fC_gte_97.25-flips_h0v0-nMasks_3-dMask_easy-dCmplx_HMH-fcs_WHAT_Qn-bsln_t_t-cntrQ_247",69,"engine temperature","radio on","fuel consumption gte 97.25","h0v0",3,"easy","H","M","H","WHAT_Qn",1,1,247,"0","0","22.169",-1,0,"3",1,"3",1
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc14-eG-gO-qry_fC_gte_104.62-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EME-fcs_WHAT_Qn-bsln_f_f-cntrQ_248",14,"engine temperature","gps on","fuel consumption gte 104.62","h0v0",3,"easy","E","M","E","WHAT_Qn",-1,-1,248,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc31-eC-gO-qry_rO_gte_1-flips_h0v0-nMasks_4-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_f_t-cntrQ_249",31,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","M","M","E","WHAT_Qn",-1,1,249,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc4-sF-gO-qry_rO_gte_1-flips_h0v0-nMasks_3-dMask_easy-dCmplx_EEE-fcs_WHAT_Qn-bsln_t_f-cntrQ_250",4,"suspension force","gps on","radio on gte 1","h0v0",3,"easy","E","E","E","WHAT_Qn",1,-1,250,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc39-eG-wO-qry_fC_gte_98.05-flips_h0v0-nMasks_2-dMask_easy-dCmplx_EHE-fcs_WHAT_Qn-bsln_t_t-cntrQ_251",39,"engine temperature","wiper on","fuel consumption gte 98.05","h0v0",2,"easy","E","H","E","WHAT_Qn",1,1,251,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc33-eG-gO-qry_fC_gte_103.87-flips_h0v0-nMasks_3-dMask_easy-dCmplx_MME-fcs_WHAT_Qn-bsln_f_f-cntrQ_252",33,"engine temperature","gps on","fuel consumption gte 103.87","h0v0",3,"easy","M","M","E","WHAT_Qn",-1,-1,252,"","","","",0,"","","",0
"R_3iECfulePwymQNr","100","10/04/2021 07:28","10/04/2021 07:21","10/04/2021 07:28","True","391","idc63-eG-gO-qry_fC_gte_100.13-flips_h0v0-nMasks_3-dMask_easy-dCmplx_MHM-fcs_WHAT_Qn-bsln_f_f-cntrQ_253",63,"engine temperature","gps on","fuel consumption gte 100.13","h0v0",3,"easy","M","H","M","WHAT_Qn",-1,-1,253,"","","","",0,"","","",0
