StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","radio on gte 1","h0v0",2,"easy","H","H","H","WHAT_Qn",54.44,56.78,75.65,1,270,"H","WHAT_Qn_H_E","H_E","3","85.629","60",-5.560000000000002,"64",-7.219999999999999,"77",-1.3499999999999943,"Neither agree nor disagree",0,"3","3","4",0
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",29,"engine temperature","radio on","fuel consumption gte 44.75","h0v0",10,"medium","E","H","E","WHAT_Qn",41.05,34.69,48.12,1,327,"E","WHAT_Qn_E_M","E_M","2","68.508","42",-0.9500000000000028,"32",2.6899999999999977,"37",11.119999999999997,"Neither agree nor disagree",0,"2","3","3",1
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",61,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"hard","M","E","M","WHAT_Qn",44.37,44.19,72.69,-1,418,"M","WHAT_Qn_M_H","M_H","3","82.043","45",-0.6300000000000026,"45",-0.8100000000000023,"39",33.69,"Neither agree nor disagree",0,"2","2","3",2
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","radio on gte 1","h0v0",4,"easy","E","E","E","WHAT_Ql",5.84,78.73,12.38,1,271,"E","WHAT_Ql_E_E","E_E","3","127.06","9",-3.16,"78",0.730000000000004,"10",2.380000000000001,"Disagree",0,"3","4","2",3
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",7,"medium","H","H","H","WHAT_Ql",4.72,20.17,23.39,-1,378,"H","WHAT_Ql_H_M","H_M","2","67.202","6",-1.2800000000000002,"25",-4.829999999999998,"24",-0.6099999999999994,"Neither agree nor disagree",0,"4","2","3",4
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",14,"hard","E","E","E","WHAT_Ql",28.97,78.73,49.76,-1,433,"E","WHAT_Ql_E_H","E_H","2","80.549","28",0.9699999999999989,"78",0.730000000000004,"51",-1.240000000000002,"Neither agree nor disagree",0,"3","4","3",5
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",4,"suspension force","gps on","heating on gte 1","h0v0",3,"easy","H","E","E","WHAT_Ql",21.37,33.52,72.94,-1,304,"E","WHAT_Ql_E_E","E_E","2","156.185","26",-4.629999999999999,"33",0.5200000000000031,"64",8.939999999999998,"Neither agree nor disagree",0,"3","3","3",6
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","E","E","WHAT_Qn",37.36,42.6,15.75,1,379,"E","WHAT_Qn_E_M","E_M","2","94.533","36",1.3599999999999994,"45",-2.3999999999999986,"24",-8.25,"Neither agree nor disagree",0,"2","2","2",7
"19/09/2021 14:26","19/09/2021 14:48","IP Address","98.128.175.226","100","1275","True","19/09/2021 14:48","R_2e8WZWae7OEANGc","57.70649719","11.96699524","anonymous","EN",67,"electricity consumption","wiper on","heating on gte 1","h0v0",13,"hard","H","H","H","WHAT_Ql",18.66,20.17,66.09,-1,486,"H","WHAT_Ql_H_H","H_H","2","108.011","21",-2.34,"27",-6.829999999999998,"60",6.090000000000003,"Neither agree nor disagree",0,"2","2","3",8
"19/09/2021 14:23","19/09/2021 14:57","IP Address","189.242.201.89","100","2042","True","19/09/2021 14:57","R_10JL9uUzJINBpv0","19.28799438","-99.00509644","anonymous","EN",61,"electricity consumption","gps on","engine temperature gte 42.31","h0v0",3,"easy","M","E","M","WHAT_Qn",50.13,44.19,37.46,1,256,"M","WHAT_Qn_M_E","M_E","5","220.215","24",26.130000000000003,"36",8.189999999999998,"80",-42.54,"Disagree",0,"5","5","5",9
